STNID,LAT,LONG,ELV,STN_NAME
AR604,-22.72611111,-64.36,500,Aguas Blancas
AR607,-22.26666667,-64.58333333,1126,Alarache
AR631,-22.37805556,-62.5225,255,Mision La Paz
AR674,-22.81666667,-64.96666667,1495,San Antonio
AR678,-22.25277778,-64.97111111,2401,Santa Victoria Oeste
AR693,-23.21666667,-64.2,303,Pozo Sarmiento
BO1002,-19.24638889,-64.37833333,2426,Arquillos
BO1003,-20.10055556,-64.41,2558,Azurduy
BO1004,-19.5,-64.03333333,1200,Bartolo
BO1005,-19.13333333,-65.26666667,2632,Cachimayu
BO1008,-20.82861111,-64.9425,2958,Culpina
BO1009,-20.56666667,-63.88333333,950,Cumandayti
BO1010,-19.36805556,-64.555,2420,Chavarria
BO1014,-19.05,-64.58333333,2000,El Rodeo
BO1015,-20.56666667,-63.73333333,780,El Salvador
BO1016,-19.63111111,-64.30694444,2113,El Villar
BO1020,-20.76666667,-64.86666667,3003,Incahuasi_CHUQ
BO1021,-20.36111111,-64.00222222,1116,Huacareta La Galeria
BO1022,-19.03333333,-65.23333333,2840,La Madona
BO1024,-18.93333333,-65.11666667,2169,La Palma
BO1025,-20.61583333,-65.14083333,3238,La Torre
BO1026,-19.07166667,-64.81055556,2644,Lamboyo
BO1028,-19.03333333,-65.41666667,3040,Maragua H
BO1029,-19.82111111,-63.96305556,1124,Monteagudo_El Banado
BO1030,-19.86666667,-63.76666667,1212,Muyupampa
BO1031,-20.49138889,-65.14666667,3239,Muyuquiri
BO1032,-18.99611111,-64.29277778,2222,Nuevo Mundo
BO1033,-19.20472222,-65.27555556,2635,Nucchu
BO1034,-19.30222222,-64.30222222,2062,Padilla
BO1036,-20.15,-64.63333333,2100,Pirhuani
BO1037,-18.78333333,-65.31666667,2400,Pojpo_H
BO1038,-18.53416667,-65.42583333,2526,Poroma_ch
BO1039,-19.01972222,-65.53055556,3080,Potolo
BO1041,-19.35333333,-65.17722222,2310,Puente Sucre
BO1042,-18.98333333,-65.30833333,2946,Punilla
BO1043,-18.825,-64.61611111,2485,Redencion Pampa
BO1045,-20.1025,-65.13333333,3059,San Lucas
BO1049,-19.48611111,-64.47444444,2085,Sopachuy
BO1050,-19.00972222,-65.29388889,2895,Sucre Aeropuerto
BO1051,-19.11,-65.40527778,3014,Talula_Tako Tako
BO1052,-19.73333333,-63.85,1120,Taperillas
BO1053,-19.18055556,-64.91333333,3287,Tarabuco
BO1055,-19.16666667,-64.46666667,2174,Tomina
BO1056,-19.16972222,-64.26416667,2032,Urriolagoytia
BO1057,-20.975,-65.23055556,2308,Villa Abecia
BO1058,-19.36083333,-64.38777778,2077,Villa Alcala
BO1059,-19.11833333,-64.3225,2238,Villa Serrano
BO1060,-19.40833333,-64.85277778,2165,Vinha Quemada
BO1061,-19.19222222,-65.12055556,3116,Yamparaez
BO1062,-19.16166667,-65.26638889,2533,Yotala
BO1063,-19.11888889,-64.70333333,2489,Zudanez
BO1064,-19.03805556,-65.24305556,2864,El Reloj
BO1066,-20.58083333,-63.89472222,939,Rosario del Ingre
BO1072,-19.03805556,-65.24305556,2852,Sucre SENAMHI
BO1083,-20.72833333,-64.0275,855,Nhacamari Iguembecito
BO1096,-18.96666667,-65.01666667,2300,Paccha_H
BO1104,-18.69027778,-64.70388889,2580,Buena Vista Ch
BO2001,-17.09416667,-68.00833333,3887,Ayo Ayo
BO2002,-14.71666667,-68.51666667,1677,Apolo SENAMHI
BO2003,-17.21166667,-68.99944444,3889,Achiri
BO2004,-16.53083333,-68.07138889,3398,Achumani
BO2005,-16.16916667,-69.08861111,3900,Copacabana
BO2006,-17.28055556,-68.63555556,3835,Calacoto
BO2007,-16.32416667,-67.60444444,1746,Coripata
BO2008,-16.90027778,-68.28166667,3935,Collana
BO2009,-15.24833333,-68.745,1962,Camata
BO2010,-17.02222222,-68.60555556,3942,Caquiaviri
BO2011,-16.2,-69.08333333,4000,Copacati
BO2012,-15.83472222,-67.57361111,620,Caranavi
BO2013,-16.23916667,-68.56666667,3934,Copancara
BO2014,-15.75527778,-69.06416667,3845,Carabuco
BO2015,-17.15861111,-69.48638889,4244,Catacora
BO2018,-15.4,-68.93333333,3000,Chuma
BO2019,-16.29611111,-68.49638889,3895,Chirapaca
BO2020,-16.17611111,-68.63055556,3856,Huarina Cota Cota
BO2021,-16.17666667,-68.38111111,4365,Hichucota
BO2022,-17.35,-67.65,3917,Huaraco
BO2023,-16.47305556,-67.45277778,1905,Irupana
BO2024,-16.03666667,-69.14833333,3913,Isla Del Sol
BO2025,-17.06138889,-67.66194444,2601,Luribay
BO2026,-16.53333333,-68.05,3662,Ovejuyo
BO2027,-15.52666667,-69.25305556,3900,Puerto Acosta
BO2028,-17.06666667,-69.19944444,3883,Santiago De Machaca
BO2029,-15.56555556,-67.325,420,Sapecho
BO2030,-16.05111111,-68.81027778,4157,Santiago De Huata
BO2031,-16.58555556,-68.96666667,3865,San Juan Huancollo
BO2032,-17.8,-69.16666667,5184,Sepulturas
BO2033,-16.49527778,-68.1325,3653,San Calixto
BO2034,-15.66638889,-69.16722222,3922,Villa Puni
BO2037,-16.48333333,-68.16666667,4100,Alto Lima
BO2038,-14.86666667,-69.3,4650,Antaquilla
BO2039,-15.73333333,-68.5,4143,Ancohoma
BO2040,-16.52277778,-68.10083333,3480,Alto Obrajes_Barrio Magisterio
BO2041,-16.58111111,-68.16083333,3757,Achocalla
BO2042,-15.89833333,-68.90416667,3888,Ancoraimes
BO2044,-17.28888889,-69.21416667,4158,Berenguela
BO2045,-16.41666667,-68.48333333,3825,Batallas
BO2046,-16.55,-67.8,4532,Mina Bolsa Negra
BO2047,-16.06666667,-68.53333333,4165,Corpaputo
BO2048,-16.9,-68.11666667,4150,Calamarca
BO2050,-16.63722222,-67.25222222,1495,Circuata
BO2051,-16.98333333,-67.83333333,2652,Caracato
BO2052,-17.37694444,-67.45527778,4035,Conchamarca
BO2054,-15.83,-66.94972222,538,Covendo
BO2055,-15.19527778,-69.00361111,3658,Charazani
BO2057,-16.31666667,-68.33333333,4219,Chunhavi Alto
BO2059,-16.49638889,-68.15805556,3816,El Tejar
BO2060,-15.48333333,-69.03333333,3491,Italaque
BO2061,-16.08333333,-68.03333333,1659,Isicani
BO2065,-16.6,-67.7,3453,Lambate
BO2066,-16.67111111,-68.01833333,2878,Mecapaca
BO2067,-16.45,-67.21666667,2169,Miguillas
BO2068,-16.28333333,-68.63333333,3815,Penhas
BO2069,-17.16666667,-67.53333333,3300,Poroma_lp
BO2070,-16.63833333,-67.85833333,3922,Pinaya
BO2071,-16.5225,-68.14388889,3758,Pasankeri
BO2072,-17.3,-67.43333333,4105,Puchuni
BO2073,-16.51666667,-68.13333333,3844,Palcoma
BO2074,-16.39611111,-68.47472222,3855,Pucarani
BO2075,-16.5,-68.11666667,3883,Pampahasi
BO2076,-15.58333333,-68.76666667,1970,Quiabaya
BO2078,-17.38333333,-67.75,4136,Sica Sica
BO2079,-16.86666667,-67.93333333,3567,Sapahaqui
BO2080,-17.19027778,-67.62083333,3818,Salla
BO2081,-16.96666667,-68.96666667,3985,San Andres De Machaca
BO2082,-17.70444444,-67.77861111,3742,San Jose Alto
BO2083,-16.48333333,-68.2,4025,Rio Seco
BO2084,-16.46666667,-68.86666667,3841,Taraco
BO2085,-16.48277778,-68.11388889,3782,Villa Copacabana
BO2086,-16.51666667,-68.21666667,4006,Villa Adela
BO2087,-16.48083333,-68.13888889,3943,Vino Tinto
BO2088,-16.86666667,-67.5,4723,Viloco
BO2089,-16.63333333,-68.48333333,3982,Yanamuyo Alto
BO2090,-16.51027778,-68.19861111,4042,El Alto Aeropuerto
BO2091,-17.58333333,-69.45,4067,Charanha
BO2093,-16.50472222,-68.12333333,3559,Laykacota
BO2094,-17.23861111,-67.92305556,3797,Patacamaya
BO2096,-16.01638889,-68.69777778,3827,El Belen
BO2098,-16.12666667,-67.19666667,745,La Asunta
BO2099,-16.22555556,-67.72805556,1586,Incapampa
BO2100,-16.56666667,-68.5,3869,Tambillo_LP
BO2101,-16.56055556,-67.95138889,3578,Palca_LP
BO2102,-15.76666667,-68.65166667,2772,Sorata
BO2103,-16.65833333,-68.28194444,3869,Viacha
BO2104,-16.56861111,-68.67833333,3859,Tiawanacu
BO2108,-14.7,-69.1,3250,Queara
BO2112,-14.78333333,-69.53333333,4540,Suches
BO2115,-14.88333333,-68.93333333,4000,Hilo Hilo
BO2125,-17.95,-68.41666667,4055,Comanche
BO2128,-15.45,-67.38333333,375,Naranjani
BO2130,-16.21166667,-68.6975,3824,Huatajata
BO2131,-15.69222222,-67.69083333,550,Santa Rita de Bs. As.
BO2138,-16.66666667,-67.66666667,1560,Minachi_H
BO2140,-15.31666667,-68.65,2000,Aucapata
BO2151,-16.5,-68.15,3739,Puente Negro
BO2154,-16.31666667,-67.91666667,3020,Unduavi_h
BO2155,-16.55,-68.08333333,3280,Mallasa
BO2156,-16.8,-67.58333333,3580,Araca
BO2157,-16.34305556,-68.49694444,3874,Huayrocondo
BO2165,-16.34722222,-68.08472222,4484,Alto Achachicala
BO2166,-16.46666667,-68.15,3700,Achachicala
BO2171,-16.55,-69.03333333,3812,Desaguadero
BO2173,-16.73333333,-68.36666667,3830,Irpa Chico
BO2176,-15.48333333,-68.76666667,3111,Pillapi
BO2178,-16.65,-68.3,3310,Coniri
BO2187,-15.71666667,-67.58333333,900,Bautista Saavedra
BO2190,-16.53333333,-67.2,1000,Khora
BO2194,-16.83333333,-66.88333333,1220,San Jacinto_lp_h
BO2195,-16.51666667,-67.23333333,1374,Suri_h
BO2196,-15.75,-68.81666667,4500,Chaguaya
BO2216,-16.5,-68.03333333,3140,Millipunku
BO2218,-16.53333333,-68.08333333,3300,Alto Seguencoma
BO2227,-16.86666667,-68.15,5200,Huayna Potosí
BO2235,-16.33333333,-68,3950,Planta Cahua H
BO2238,-16.2333,-67.7,2405,Coroico
BO2240,-17.16666667,-67.4,3771,Yaco
BO2286,-16.3039,-67.8153,3093,Chuspipata
BO2302,-16.41527778,-68.02277778,4200,Hampaturi EPSAS
BO2305,-16.40694444,-68.04777778,4369,Incachaca EPSAS
BO3002,-18.20333333,-65.17805556,2261,Aiquile
BO3003,-17.78361111,-65.93277778,3036,Anzaldo
BO3004,-17.57361111,-65.75444444,2855,Arani
BO3005,-17.7,-66.26055556,2390,Capinota
BO3010,-17.26527778,-66.79722222,3852,Charahuayto
BO3012,-16.87333333,-65.48277778,262,Chipiriri
BO3013,-17.08138889,-66.81861111,2688,Independencia
BO3014,-16.71666667,-66.81666667,3709,Iturata
BO3015,-16.995,-65.17138889,249,La Jota (Chimore)
BO3016,-17.21666667,-66.25,4069,Ramadas Cbba
BO3017,-17.44861111,-66.13555556,2587,La Tamborada
BO3018,-17.34722222,-66.23166667,2617,La Violeta
BO3019,-16.98333333,-66.68333333,3379,Locotal
BO3020,-17.09,-66.32722222,4070,Misicuni
BO3023,-17.36611111,-66.31861111,2626,Pairumani
BO3024,-17.56611111,-66.34361111,2477,Parotani
BO3025,-18.61138889,-65.15583333,1554,Puente Arce
BO3026,-16.83777778,-64.7925,195,Puerto Villarroel
BO3028,-17.52638889,-65.90388889,2726,San Benito
BO3029,-17.36666667,-66.33333333,2667,San Miguel_Jankocala CBBA
BO3030,-17.60861111,-66.02277778,2751,Tarata
BO3031,-17.42527778,-65.72444444,3325,Tiraque
BO3033,-17.65,-66.11666667,3039,Totora_CBBA
BO3034,-16.08333333,-66.76666667,3800,Totora Pampa
BO3035,-17.41611111,-66.17444444,2563,Cochabamba Aeropuerto
BO3049,-17.94277778,-65.33777778,2013,Mizque
BO3066,-17.46666667,-65.76666667,3092,Sacabambilla Baja
BO3069,-18.425,-65.21777778,1951,Quiroga
BO3079,-17.03333333,-66.36666667,3500,Incachaca_Ayopaya
BO3083,-17.80388889,-65.80083333,3174,Sacabamba
BO3085,-17.9,-66.91666667,2700,Rio Rancho
BO3114,-17.44361111,-65.17138889,2570,Lab. Hidraulica UMSS
BO3261,-16.71,-66.75,1350,Atispaya Maravillas
BO3266,-17.225,-65.88305556,3240,Corani Represa
BO3284,-16.96666667,-66.83333333,3450,Sivingani Ayopaya
BO3287,-17.31666667,-66.25,3500,Titiri
BO3299,-17.38416667,-66.17555556,2572,Sarco
BO3306,-17.13333333,-66.36666667,3500,Incachaca - Quillacollo
BO4001,-18.77194444,-67.50638889,3749,Andamarca
BO4005,-18.1778,-68.7064,3909,Cosapa
BO4008,-17.59638889,-67.50611111,3761,Eucaliptus
BO4012,-17.95277778,-67.07972222,3715,Oruro Aeropuerto
BO4014,-19.23,-66.95972222,3722,Quillacas
BO4019,-19.275,-67.59916667,3726,San Martin
BO4023,-19.13027778,-67.42472222,3751,Ucumasi
BO4026,-17.83694444,-66.81388889,4042,Chillca
BO4027,-17.97472222,-67.08,3716,Cabanha_Forestal_Oruro
BO4028,-19.00777778,-68.71527778,3927,Todo Santos_Or
BO5002,-21.46666667,-67.65,3820,Alota
BO5003,-20.73666667,-67.65833333,3898,Colcha K
BO5004,-20.38333333,-65.46666667,2842,Calcha Nor Chichas
BO5005,-20,-65.65,3270,Caiza D
BO5007,-19.64805556,-65.36111111,3289,Chinoli
BO5008,-19.61666667,-65.5,3370,Challviri
BO5009,-19.85,-66.13333333,3773,Chaquilla
BO5010,-19.66666667,-65.55,3558,Chico Chico
BO5013,-22.1722,-67.8175,4354,Laguna Colorada
BO5014,-20.15,-65.35,3201,Otavi
BO5015,-19.58333333,-65.75,4005,Potosi Los Pinos
BO5016,-19.43333333,-65.78333333,2375,Pampa Soico
BO5017,-21.82916667,-65.55055556,3414,Mojo
BO5018,-20.82222222,-65.64694444,2649,Cotagaita_Mosoj Llajta
BO5019,-18.81666667,-66.03333333,3581,Macha
BO5020,-19.79722222,-65.50333333,3281,Puna
BO5021,-20.68333333,-65.43333333,2521,Palca Higueras
BO5022,-19.68333333,-66.76666667,3819,Rio Mulato
BO5023,-21.08333333,-65.63333333,3250,Ramadas Pti
BO5025,-19.48333333,-65.68333333,3760,Samasa
BO5027,-21.14777778,-67.67555556,3829,San Agustin
BO5028,-21.74638889,-65.82166667,3078,Talina
BO5030,-21.43833333,-65.71527778,3020,Tupiza
BO5031,-19.21666667,-65.81666667,3569,Tinguipaya
BO5033,-20.47222222,-66.83138889,3668,Uyuni
BO5034,-22.08333333,-65.6,3454,Villazon
BO5035,-19.38888889,-65.91027778,3481,Yocalla
BO5036,-19.58333333,-65.55,3449,Chaqui
